Location ID,SKU,Quantity On Hand,Safety Stock,Effective Date,Future Date 1,Future Quantity 1,Future Date 2,Future Quantity 2,Group Eligibility Exclusion
B2BStore_Warehouse,6010009,10,1,2025-07-18T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,10,2025-07-31T14:05:22.781-07:00,10,
B2BStore_Warehouse,6010019,200,10,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,9,2025-07-31T14:05:22.781-07:00,10,
B2BStore_Warehouse,6010008,100,10,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,8,2025-07-31T14:05:22.781-07:00,10,
B2BStore_Warehouse,6010018,150,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,7,2025-07-31T14:05:22.781-07:00,22,
B2BStore_Warehouse,6010007,125,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,6,2025-07-31T14:05:22.781-07:00,10,
B2BStore_Warehouse,6010006,225,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,5,2025-07-31T14:05:22.781-07:00,10,
B2BStore_Warehouse,6010016,12,2,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,4,2025-07-31T14:05:22.781-07:00,10,
B2BStore_Warehouse,6010015,8,0,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,10,2025-07-31T14:05:22.781-07:00,10,
B2BStore_Warehouse,6010004,52,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,9,2025-07-31T14:05:22.781-07:00,75,
B2BStore_Warehouse,6010025,42,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,8,2025-07-31T14:05:22.781-07:00,16,
B2BStore_Warehouse,6010014,37,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,7,2025-07-31T14:05:22.781-07:00,6,
B2BStore_Warehouse,6010024,55,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,6,2025-07-31T14:05:22.781-07:00,7,
B2BStore_Warehouse,6010013,600,10,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,100,2025-07-31T14:05:22.781-07:00,150,
B2BStore_Warehouse,6010012,555,25,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,75,2025-07-31T14:05:22.781-07:00,9,
B2BStore_Warehouse,6010011,777,75,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,150,2025-07-31T14:05:22.781-07:00,100,
B2BStore_Warehouse,6010010,110,6,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,10,2025-07-31T14:05:22.781-07:00,4,
B2BStore_Warehouse,6010020,97,10,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,10,2025-07-31T14:05:22.781-07:00,5,
B2BStore_Warehouse,6010027,78,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,10,2025-07-31T14:05:22.781-07:00,6,
B2BStore_Warehouse,6010028,201,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,22,2025-07-31T14:05:22.781-07:00,7,
B2BStore_Warehouse,6010029,52,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,10,2025-07-31T14:05:22.781-07:00,8,
B2BStore_Warehouse,6010030,51,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,10,2025-07-31T14:05:22.781-07:00,9,
B2BStore_Warehouse,6010031,86,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,10,2025-07-31T14:05:22.781-07:00,10,
