Location ID,SKU,Quantity On Hand,Safety Stock,Effective Date,Future Date 1,Future Quantity 1,Future Date 2,Future Quantity 2,Group Eligibility Exclusion
D2CStore_Warehouse,6010009,86,1,2025-07-18T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,10,2025-07-31T14:05:22.781-07:00,10,
D2CStore_Warehouse,6010019,51,10,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,10,2025-07-31T14:05:22.781-07:00,9,
D2CStore_Warehouse,6010008,52,10,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,10,2025-07-31T14:05:22.781-07:00,8,
D2CStore_Warehouse,6010018,201,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,22,2025-07-31T14:05:22.781-07:00,7,
D2CStore_Warehouse,6010007,78,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,10,2025-07-31T14:05:22.781-07:00,6,
D2CStore_Warehouse,6010006,97,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,10,2025-07-31T14:05:22.781-07:00,5,
D2CStore_Warehouse,6010016,110,2,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,10,2025-07-31T14:05:22.781-07:00,4,
D2CStore_Warehouse,6010015,777,0,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,10,2025-07-31T14:05:22.781-07:00,10,
D2CStore_Warehouse,6010004,555,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,75,2025-07-31T14:05:22.781-07:00,9,
D2CStore_Warehouse,6010025,600,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,100,2025-07-31T14:05:22.781-07:00,150,
D2CStore_Warehouse,6010014,55,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,6,2025-07-31T14:05:22.781-07:00,7,
D2CStore_Warehouse,6010024,37,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,7,2025-07-31T14:05:22.781-07:00,6,
D2CStore_Warehouse,6010013,42,10,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,150,2025-07-31T14:05:22.781-07:00,100,
D2CStore_Warehouse,6010012,52,25,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,9,2025-07-31T14:05:22.781-07:00,75,
D2CStore_Warehouse,6010011,8,75,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,100,2025-07-31T14:05:22.781-07:00,150,
D2CStore_Warehouse,6010010,12,6,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,4,2025-07-31T14:05:22.781-07:00,10,
D2CStore_Warehouse,6010020,225,10,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,150,2025-07-31T14:05:22.781-07:00,100,
D2CStore_Warehouse,6010027,125,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,6,2025-07-31T14:05:22.781-07:00,10,
D2CStore_Warehouse,6010028,150,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,7,2025-07-31T14:05:22.781-07:00,22,
D2CStore_Warehouse,6010029,100,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,8,2025-07-31T14:05:22.781-07:00,10,
D2CStore_Warehouse,6010030,200,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,9,2025-07-31T14:05:22.781-07:00,10,
D2CStore_Warehouse,6010031,10,5,2025-04-07T14:05:22.790896-07:00,2025-07-25T14:05:22.781-07:00,10,2025-07-31T14:05:22.781-07:00,10,
